"No.","Time","Source","Destination","Protocol","Length","Info"
"68","7.461685429","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.3 detected!)"
"69","8.000699321","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"70","8.381828171","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=19/4864, ttl=64 (no response found!)"
"71","8.381889146","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=19/4864, ttl=63 (reply in 72)"
"72","8.381917769","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=19/4864, ttl=64 (request in 71)"
"73","8.381933599","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=19/4864, ttl=63"
"74","8.413560559","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=574/15874, ttl=64 (reply in 75)"
"75","8.413622755","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=574/15874, ttl=64 (request in 74)"
"76","8.464347828","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
"77","8.509554693","02:42:ac:11:00:03","02:42:ac:11:00:02","ARP","42","Who has 172.17.0.2? Tell 172.17.0.3 (duplicate use of 172.17.0.3 detected!)"
"78","8.509626438","02:42:ac:11:00:02","02:42:ac:11:00:03","ARP","42","172.17.0.2 is at 02:42:ac:11:00:02 (duplicate use of 172.17.0.3 detected!)"
"79","9.268660949","02:42:c7:f2:77:18","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.2 detected!)"
"80","9.405734114","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=20/5120, ttl=64 (no response found!)"
"81","9.405797012","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=20/5120, ttl=63 (reply in 82)"
"82","9.405825976","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=20/5120, ttl=64 (request in 81)"
"83","9.405843980","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=20/5120, ttl=63"
"84","9.437543617","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=575/16130, ttl=64 (reply in 85)"
"85","9.437617575","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=575/16130, ttl=64 (request in 84)"
"86","9.461890254","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.3 detected!)"
"87","10.001077865","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"88","10.430198979","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=21/5376, ttl=64 (no response found!)"
"89","10.430233123","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=21/5376, ttl=63 (reply in 90)"
"90","10.430247971","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=21/5376, ttl=64 (request in 89)"
